id,price
1,52515.93
2,64326.18
3,23210.44
4,2802.52
5,5599.21
6,6159.04
7,4134.7325
8,13822.27
9,4962.51
10,20632.9
11,5563.44
12,5360.91
13,4353.6
14,57148.13
15,40672.78
16,55956.36
17,55150.05
18,6464.99
19,72974.74
20,6663.0380000000005
21,6615.28
22,60683.555166666665
23,45191.42
24,5849.3
25,5055.29
26,3951.26
27,6195.04
28,5130.99
29,3728.12
30,6496.42
31,7118.76
32,64889.37
33,60056.75
34,53025.83
35,9957.89
36,5834.62
37,5413.5
38,45669.81
39,5703.25
40,2589.14
41,10228.2
42,79845.42
43,5284.74
44,3595.37
45,12749.82
46,3216.26
47,5903.74
48,11615.66
49,67829.37
50,6489.1
51,5627.82
52,3401.08
53,6650.63
54,5124.07
55,6920.12
56,2610.42
57,4218.0
58,54690.78
59,3410.19
60,63984.365
61,9848.36
62,46611.85
63,6682.46
64,11276.32
65,56232.75
66,53059.55
67,45060.69
68,11511.38
69,46635.91
70,45169.64
71,5727.22
72,7129.8
73,10833.92
74,8829.39
75,11202.32
76,6390.84
77,8502.92
78,3491.69
79,62531.7
80,10792.41
81,5329.87
82,6110.68
83,7564.86
84,6559.52
85,30818.96
86,59832.23
87,4697.27
88,14199.1
89,59670.65
90,4396.72
91,4536.03
92,64094.31
93,55493.13
94,82243.78
95,54405.98
96,4858.07
97,5831.41
98,13742.1
99,6303.67
100,67603.9
101,5167.23
102,8230.7
103,7052.55
104,2900.4
105,6398.71
106,8244.98
107,51991.81
108,56181.25
109,47406.26
110,2412.81
111,54124.51
112,52259.77
113,10859.71
114,3234.24
115,3369.51
116,3806.16
117,5937.15
118,3083.39
119,6162.08
120,11722.29
121,52429.88
122,17046.06
123,6661.58
124,46047.94
125,5848.62
126,6515.68
127,7243.8
128,11408.72
129,65834.38
130,3758.61
131,6284.44
132,61255.05
133,6182.43
134,6780.44
135,4183.16
136,45081.63
137,4337.13
138,7693.15
139,3904.71
140,4742.55
141,3449.28
142,51205.73
143,8160.06
144,1751.45
145,54712.92
146,3045.56
147,6216.27
148,14941.36
149,4317.36
150,4699.89
151,7754.31
152,63340.79
153,7825.86
154,6876.39
155,61535.72
156,6684.61
157,7030.47
158,5305.9
159,6739.26
160,5216.43
161,55187.04
162,6628.03
163,67316.58
164,8254.37
165,58953.9
166,35058.48
167,58306.48
168,5553.0
169,13072.68
170,50191.06
171,1907.6
172,7887.61
173,52196.81
174,56070.78
175,4638.79
176,68664.41
177,3967.47
178,3691.83
179,5335.65
180,70326.14
181,29673.19
182,7386.25
183,11254.64
184,6022.49
185,27134.85
186,6648.09
187,9874.61
188,54398.09
189,14424.37
190,4410.28
191,52740.88
192,3578.14
193,56756.18
194,5831.6
195,4945.28
196,5714.24
197,2530.23
198,16200.06
199,13079.07
200,59420.66
